0.0_SE_5,0.0_SE_10,0.0_SE_20,0.0_SE_40,0.1_SE_5,0.1_SE_10,0.1_SE_20,0.1_SE_40,0.2_SE_5,0.2_SE_10,0.2_SE_20,0.2_SE_40,0.3_SE_5,0.3_SE_10,0.3_SE_20,0.3_SE_40,1_SE_5,1_SE_10,1_SE_20,1_SE_40,2_SE_5,2_SE_10,2_SE_20,2_SE_40,3.0_SE_5,3.0_SE_10,3.0_SE_20,3.0_SE_40,3.1_SE_5,3.1_SE_10,3.1_SE_20,3.1_SE_40,3.2_SE_5,3.2_SE_10,3.2_SE_20,3.2_SE_40,3.3_SE_5,3.3_SE_10,3.3_SE_20,3.3_SE_40,4_SE_5,4_SE_10,4_SE_20,4_SE_40
7.084232220674373,1.1223923470160804,2.0311220536979793,1.9375411884194198,6.714827707875456,0.7108443217927028,3.8521410604841537,3.1036423581706263,4.889717060907598,1.4642444582851828,1.9368893731508916,1.8667353369597184,4.273208611715182,1.9687840933919838,1.6296591880111269,1.462446636688381,6.916661454245795,2.0311220536979793,2.9290440698783575,1.8428287529169944,6.0777124777683875,3.964571618702191,2.753246190646965,2.5759791641335723,7.67029293317808,3.5819248810155515,4.497084093145526,2.362933636572217,2.908087306340913,1.338580236580453,-0,1.5714509875294145,2.490274962049803,2.485782624616982,3.1116254516761694,2.7205514047672867,2.7868134786607506,1.9443006709863215,1.4895141844423672,1.5001622924505806,4.526603123392064,1.2728407116910223,1.1727082630586922,1.7328780755935818
6.4974393619641555,1.9375411884194198,1.7467903877711284,1.003400188687222,8.247125841797416,1.470240667216369,2.8543387199994847,3.1905585889832473,5.674320530089008,0.44804242127526006,2.526875345587009,0.795957736375572,4.273208611715182,-0,1.6296591880111269,1.318987672497923,5.320476437578791,1.8428287529169944,2.486687821121959,1.3433282226418026,4.390220506544956,2.396887192751814,2.664816172230987,-0,8.673758430252073,3.404460094451408,4.921438787556027,1.4330613515640072,3.9703374082487835,0.8556988853632878,2.595876379862854,-0,3.942004106070906,2.6983901704797555,3.1116254516761694,2.1215629026502496,2.7868134786607506,1.5581718341076094,1.21239149488414,0.7723981593720217,4.526603123392064,1.5921557604577437,2.162139969235469,1.1598696647966351
6.413538079574276,2.2154900791241654,1.5496945877745014,1.7467903877711284,7.65171171470431,2.47209872051559,2.900357268019382,2.486687821121959,4.545109450483382,1.3485784374850494,2.430477693067386,1.9697974361753638,4.022442564953244,0.7675091211323632,0.6624014631285583,0.3283971197010299,5.909651936376301,2.5759791641335723,2.5759791641335723,1.7467903877711284,4.305268680308521,2.9290440698783575,1.9375411884194198,1.1223923470160804,7.2517437137266505,3.846926224720862,5.259944932220955,2.4092750558928038,2.63680108945725,0.8556988853632878,2.595876379862854,0.8774801413914921,3.1759179754981104,2.270243599339134,3.1116254516761694,2.9156868635853295,2.7868134786607506,0.9746331778882564,0.4863725078161858,-0,5.083855053839848,2.0638790518271013,1.8515765992515487,0.8909237980824115
6.245671450104699,2.396887192751814,2.753246190646965,2.753246190646965,6.629559734579802,2.085789278733469,4.388230436224008,4.390220506544956,4.594402741603334,2.3094526848735737,2.1371007602543197,2.2720159970952647,4.273208611715182,1.086519048884214,2.0249644137779086,2.372280750725915,7.2517437137266505,1.9375411884194198,2.486687821121959,1.9375411884194198,5.825580371332517,2.664816172230987,3.1905585889832473,1.1223923470160804,6.329615773225358,2.5017733203589416,3.642192077834859,2.6844838730162905,3.2653897220191546,0.8556988853632878,1.8657819731467933,1.13180151260367,2.8845354522962383,2.908753831210246,3.305230560091348,3.205672063051031,1.6331358244658603,1.2817485562846744,1.21239149488414,2.6662754753405045,4.414824223117483,1.5921557604577437,1.4124486340450915,1.9439530280993609
6.0777124777683875,1.3433282226418026,1.8428287529169944,1.9375411884194198,7.226073683823993,1.1259886979841367,3.31116470460771,2.2154900791241654,4.692922659676278,1.2285743239816813,1.2937216115180228,1.9697974361753638,4.1479275737577845,0.5678238418983345,1.3483887041618623,1.6007487757670453,5.909651936376301,1.7467903877711284,2.396887192751814,1.4479226863882044,5.067406706823574,3.8791417307522744,3.1036423581706263,2.396887192751814,7.16799507029979,4.286127646577036,4.412014213770994,1.3794618815348472,3.087269210836934,1.7524830642478053,1.4736013834637334,0.5599276698063158,1.4385971019378838,2.6983901704797555,3.1116254516761694,2.818327673754646,1.8757386469372284,1.9443006709863215,1.9964697971074192,0.9418116413961763,5.195032455214481,-0,1.1727082630586922,1.2219061974620824
5.825580371332517,0.8756195044548757,1.2351708405492359,2.123728691384597,7.226073683823993,2.085789278733469,3.1748268943131643,3.7935940429597657,4.495792830577041,0.8228773585552407,1.8349128883281591,1.9697974361753638,4.398305186671294,0.9354376483987034,-0,1.6007487757670453,5.236163194673645,1.6491825057184433,1.9375411884194198,1.6491825057184433,5.067406706823574,3.8791417307522744,2.396887192751814,0.8756195044548757,8.172186621787258,3.136763890809658,3.728187756589963,2.5932370008002015,2.9978239592897817,1.338580236580453,1.0349048002069108,1.7742650123566484,3.5605364889514903,2.485782624616982,3.1116254516761694,3.109323533322582,3.0068205102501966,1.2817485562846744,1.7484390201053732,1.5001622924505806,3.797317874208382,0.988579905977163,0.9050886496147734,1.5138182190585556
5.7414794006577194,2.2154900791241654,1.6491825057184433,0.5698157352531706,6.714827707875456,2.2804719517724137,1.9055731730657817,2.396887192751814,3.7525234947063844,2.7063633984034743,1.0500385066788964,0.4114147518271065,3.1359715753652475,1.2270563279062308,1.0390583524323538,-0,6.581320557313919,2.753246190646965,1.2351708405492359,1.3433282226418026,3.536147965011623,2.753246190646965,2.123728691384597,0.5698157352531706,4.898459676835238,2.957065559769735,3.122671953779316,1.0958426757460706,1.036883933204961,2.138681655348271,1.151842377850302,0.8774801413914921,1.7708180409109857,1.5930113708188027,2.7204493522317765,2.5235354692501835,1.6331358244658603,0.28253402132518374,-0,1.5001622924505806,3.6278820289437546,3.269069935749275,2.759336381920676,1.0303653352200606
5.573183050497016,2.0311220536979793,1.6491825057184433,1.5496945877745014,7.226073683823993,-0,2.1978599020558045,2.396887192751814,3.8023256703001493,-0,0.597870582166335,-0,2.878804480660783,0.7675091211323632,1.0390583524323538,-0,6.0777124777683875,2.123728691384597,2.486687821121959,1.9375411884194198,4.729298616942683,2.664816172230987,2.0311220536979793,1.5496945877745014,6.749026177516223,1.4308890955946416,2.8598582142770943,0.3887139707423935,2.9978239592897817,1.1112216334193734,0.7732798019274263,-0,2.188129815112922,0.7735563510610219,2.91679525775747,2.5235354692501835,2.110326065385614,-0,0.8998181473636353,-0,4.190857703206861,0.7391811609020337,1.6368224333153913,1.7862781023846588
5.488984312963205,1.2351708405492359,-0,1.6491825057184433,5.946636256744872,1.1259886979841367,1.8558474278748431,2.486687821121959,2.588824215739605,0.9688816174419935,0.7688284302148021,0.6276115417563173,2.6188708625725545,0.27367502264096977,-0,1.0074403887205994,5.657347501742467,0.7344171731503439,-0,-0,4.049892014300691,2.9290440698783575,2.123728691384597,0.35008943118028996,5.067406706823574,2.032704342829576,2.7274034510820178,0.9059077422191487,1.8884092893539968,0.8556988853632878,1.8657819731467933,0.8774801413914921,2.3903124321428373,2.0507724974367574,2.321512236969833,2.1215629026502496,2.3394215184778564,1.1335640308560924,1.9964697971074192,1.2361578165569986,3.1729513570473498,1.773093896635652,-0,1.3418263911812462
5.404749436090627,-0,-0,0.8756195044548757,6.2882850244716275,-0,1.7044033177561588,1.9375411884194198,4.397086038066519,-0,0.3719613423105452,1.2016343945564945,4.398305186671294,-0,-0,1.1684097877328141,6.749026177516223,1.9375411884194198,1.7467903877711284,0.8756195044548757,4.644629458936676,2.396887192751814,0.35008943118028996,1.003400188687222,5.909651936376301,2.593681456696157,2.5940939505016782,0.2260755431242342,2.4537938679513833,-0,0.9100165363751995,0.8774801413914921,1.5519750110014907,2.270243599339134,2.7204493522317765,2.2232891776441344,2.3394215184778564,0.5895544380918316,0.4863725078161858,1.2361578165569986,3.5146101499563223,1.530367292434134,1.9563792248630905,0.7358377956750408
