"","0.0_SE_5","0.0_SE_10","0.0_SE_20","0.0_SE_40","0.1_SE_5","0.1_SE_10","0.1_SE_20","0.1_SE_40","0.2_SE_5","0.2_SE_10","0.2_SE_20","0.2_SE_40","0.3_SE_5","0.3_SE_10","0.3_SE_20","0.3_SE_40","1_SE_5","1_SE_10","1_SE_20","1_SE_40","2_SE_5","2_SE_10","2_SE_20","2_SE_40","3.0_SE_5","3.0_SE_10","3.0_SE_20","3.0_SE_40","3.1_SE_5","3.1_SE_10","3.1_SE_20","3.1_SE_40","3.2_SE_5","3.2_SE_10","3.2_SE_20","3.2_SE_40","3.3_SE_5","3.3_SE_10","3.3_SE_20","3.3_SE_40","4_SE_5","4_SE_10","4_SE_20","4_SE_40"
"GOBP_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL",4.07962684308179,0,0.909845979446959,1.22639087640346,6.00468643162955,0.772709197042431,1.89422341555777,0,3.49133919112301,0,0,0,2.38040327112975,0,0,0,3.06964451296171,0,0,0,4.16917891979175,1.49448103573325,0,0,4.16917891979175,0,2.50735034945582,0,1.43109761242787,0,0,0,0.718778967361393,0,2.11412041187967,2.11571454447706,3.15520000942883,0.73206299848736,0,0,1.07467968322388,0,0,0
"GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS",4.07962684308179,0,0,0,5.25628556978873,0,0.819621328314137,0,2.89067327237161,0,0.867072629672693,0,2.81821477014205,0,0,0,4.96478968168921,0.71384177835541,0,0,3.53544516743335,0,0,0,4.43628217993067,0,0,0,1.56077734624545,0,0,0,0.718778967361393,0,1.61009559356554,1.61525413450942,1.8923292024025,0,1.07937749475106,0,2.33669684388055,0,0,0
"GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS",4.07962684308179,3.53544516743335,2.07162571157637,1.22639087640346,6.61598147340018,4.7463631968935,0,2.17800032672136,3.8100460966514,2.88031220874933,0,0,2.22856486645095,2.75069704460068,0,0,4.87715362701531,0,0,0,6.35017598429754,3.06964451296171,2.17800032672136,0,5.74734745584989,4.51833831397271,3.27925446882464,0,2.03202389640079,1.08591604630534,0,0,1.83041946676661,2.32149225311863,0,0.549244822815924,2.16450473794573,1.54471964375719,0,0,3.72011084809653,0,0,0
"GOBP_CELLULAR_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS",4.07962684308179,0,0,0,4.45282329604094,0,0,0,1.67700685924498,0,0,0,1.7443664926465,0,0,0,2.7821956538998,0,0,0,1.07670489362575,0,0,0,2.07162571157637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557145953225781,0,0,0
"GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",4.07962684308179,0,0,0,5.07890702134393,0,0,0.909845979446959,2.06959898426769,0,0,0,2.95973155044287,0,0,0,5.22678995522778,0.452213306864877,0,0,2.87883324957921,2.17800032672136,0,0,5.92001737595166,0.891081531475191,0,0.688176739645896,1.56077734624545,0,0,0,2.42355244505494,0.803555845418372,1.32443422870218,0,0.0839795182568152,0,0,0,2.60205798949475,0,0,0
"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS",4.07962684308179,0,0,1.85149114493945,5.69747081548801,0,2.6055032859462,3.62708661826703,2.37371687415026,0,0,0.0960244437783222,2.95973155044287,0,0,1.61667453441314,4.25846093614995,0,2.07162571157637,1.49448103573325,3.80915241184237,0,0,0,4.52485161937538,2.08970967256407,1.98470192886459,2.46245600807235,1.56077734624545,0,0,0,1.56781847123764,0,2.79109830007239,2.23260197474287,0.880425686984323,0,0,0.59875176228435,1.91589061291624,0,0,0
"GOBP_CELL_CYCLE_PHASE_TRANSITION",4.07962684308179,0.71384177835541,0,1.85149114493945,6.87691356349371,0,3.11128731171132,2.28238077474637,4.38366893380422,0,0,1.4100066342791,2.81821477014205,0.568765741982183,0,0,4.96478968168921,0,0,1.96292765631485,4.52485161937538,1.73678238701503,0.452213306864877,1.49448103573325,6.17835355137688,1.36280206630704,2.99594972653989,2.96555557769851,2.24960813354481,0,0,0,0.421400511214819,0,2.57210251444698,2.78853180079081,2.67375884290436,0,0,0,3.47884095223362,0,1.39119964082224,2.48828180082425
"GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS",4.07962684308179,1.73678238701503,5.22678995522778,0,4.27207872706795,0,6.09230366508961,0,2.19317750972141,0.770411752667898,4.73894871294257,0,2.81821477014205,0,2.81408844907338,0,4.07962684308179,1.85149114493945,3.62708661826703,0,3.89963530172352,2.7821956538998,4.70137468988899,0,3.62708661826703,2.91830669608051,4.98925398198527,0,0.563991382077484,0,2.70544049504292,0,1.95489393379913,1.80610707586465,4.03304485673328,2.34721467171822,0,0,1.76461998343577,0,2.7315487113184,1.11887386931443,2.61432594084433,0
"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM",4.07962684308179,0,0,0,2.31400611058756,0,0,0,0,0,0,0,1.56841922542876,0,0,0,3.25766161527005,0,0,0,0,0.452213306864877,0,0,2.28238077474637,0,1.10481357608076,0,0.563991382077484,0,0,0,0,0,0.525634345545382,0,0,0,0,0,2.85930709846575,0,0,0
"GOBP_FAT_CELL_DIFFERENTIATION",4.07962684308179,0,0,0,4.72226476907702,0,1.09045075419518,3.16397023181826,1.74531457158638,0,0,0,2.22856486645095,0,0,0,3.62708661826703,0,0,0,2.48617390311913,0.452213306864877,1.22639087640346,0.71384177835541,4.43628217993067,0,1.51819297722522,0,0,0,0,0,1.83041946676661,0,1.87014326604908,2.23260197474287,0,0,0,0,2.47055628733598,0,0,0
"GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY",4.07962684308179,0,0,2.38503277869719,6.57243698452864,0,1.52392812022922,2.87883324957921,3.43770742397666,0,0,1.68129624412805,2.81821477014205,0,0,0,5.13959981827176,1.49448103573325,1.73678238701503,1.49448103573325,4.16917891979175,2.97462244831816,0.909845979446959,0,7.12009857085715,2.51523029660603,2.99594972653989,1.86383530331036,1.91953569218175,0,0,0,2.30986102583502,1.80610707586465,2.57210251444698,0,0.880425686984323,0,1.44703435339669,0,2.66703593397781,0,0,0.481596940627406
"GOBP_INTERLEUKIN_10_PRODUCTION",4.07962684308179,0,0,0,6.65950947188639,0,0,0,2.19317750972141,0,0,0,2.67473148185799,0,0,0,1.96292765631485,0,0,0,3.71831210214621,1.96292765631485,0.71384177835541,0,7.46087304888743,0.394284634546776,1.51819297722522,0,2.96155141873586,0,0,0,2.53546081505944,0,0.525634345545382,0,1.8923292024025,0,0,0,1.17491680022915,0,0,0
"GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS",4.07962684308179,0,0,0,3.95319099821665,0,0.819621328314137,0,2.25394815701916,0,0,0,1.7443664926465,0,0,0,3.80915241184237,0,0.452213306864877,0,2.6846157972517,0,0,0,3.16397023181826,0.394284634546776,1.38927052428859,0,0.563991382077484,0,0,0,0,0,2.11412041187967,2.45987553461538,0,0,0,0,2.13049341252151,0,0,0
"GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION",4.07962684308179,0,0,1.22639087640346,5.60946677363585,0,0,1.49448103573325,3.27578249775559,0,1.76247515209317,0.708252888633097,2.22856486645095,0,0,0,4.87715362701531,0,1.36458148381464,0,3.80915241184237,0,0,0,3.89963530172352,0.394284634546776,2.09318000450098,2.25208655918448,1.29387264182627,0.715388962983461,0,0.759917742492702,1.7017428880222,0,1.61009559356554,1.17550777708045,1.60046645431698,0,1.44703435339669,0.59875176228435,3.11049573351035,0,0,1.37367031874635
"GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS",4.07962684308179,0,0,0,5.34476766958479,0,2.96197852786542,0,2.66466876215497,0,0,0.708252888633097,2.22856486645095,0,0,0,4.52485161937538,0,0,2.38503277869719,3.98978586294352,3.06964451296171,3.35077326297947,0,4.61321171006572,2.41141649831511,3.18546416335053,0,2.24960813354481,0,0,0,1.95489393379913,2.32149225311863,0.99107669148982,0,1.8923292024025,0,0,0,3.47884095223362,0,0,0
"GOBP_MUSCLE_CELL_PROLIFERATION",4.07962684308179,0,0.909845979446959,0,4.72226476907702,0,1.52392812022922,0,2.31411232724506,0,0,0,1.91175712856238,0,0,0,3.62708661826703,0.71384177835541,1.07670489362575,0,4.34749010393707,3.25766161527005,1.49448103573325,0,5.05226897249176,0,1.38927052428859,2.25208655918448,0.797636473397208,0,0,0,1.11526378187577,0,1.32443422870218,1.99614622590062,0,0,0,0,3.5394406064985,0,0,0
"GOBP_MYOTUBE_DIFFERENTIATION",4.07962684308179,0.909845979446959,0,2.07162571157637,5.52135204838534,0,0.587426661614847,1.61809774851774,2.31411232724506,0.502024504149849,0.64283605918011,1.01458678188592,3.37499266993677,0,0,0,3.53544516743335,0.452213306864877,0,0,2.48617390311913,1.07670489362575,0,0,5.40077643339319,0,2.30366546727373,2.71737925440643,0,0,0,0,0.933827115829518,0,1.87014326604908,2.57084551376237,2.16450473794573,0,0,0,1.07467968322388,0,0,0
"GOBP_NCRNA_METABOLIC_PROCESS",4.07962684308179,0,1.07670489362575,1.73678238701503,5.69747081548801,0,2.28763777941527,0.71384177835541,2.89067327237161,1.59551047110043,0,1.54901626212615,1.56841922542876,0,0,0,3.25766161527005,0,0,0,3.98978586294352,0,1.85149114493945,1.85149114493945,4.34749010393707,0,2.40624688959951,0,0,0,0,0,0.718778967361393,1.20072264130338,1.61009559356554,1.8733761076217,0.880425686984323,0,0,0,2.13049341252151,0.281331955197292,0,0.261195210037597
"GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT",4.07962684308179,0,0.71384177835541,0,4.67748495019026,0,1.65212045636598,1.22639087640346,2.72166043324654,0.502024504149849,0,0,1.17524132223516,0,0,0,4.43628217993067,0,0,0,3.53544516743335,2.38503277869719,1.96292765631485,0.71384177835541,3.53544516743335,0.683924904919603,0,0,0.117360193618651,0,0,0,2.64581642750801,0,0,1.61525413450942,0,0,0,1.43207175019643,2.20004084117972,0,0,0
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_BINDING",4.07962684308179,0.909845979446959,2.7821956538998,1.73678238701503,6.31080370474767,0,3.30782972524883,1.73678238701503,3.75726327101454,0.770411752667898,2.00380602495506,1.10145464364842,2.52893890930972,0,0.873959860758558,0.496756413455519,4.43628217993067,1.36458148381464,2.38503277869719,1.36458148381464,3.98978586294352,4.25846093614995,3.89963530172352,1.96292765631485,6.35017598429754,2.91830669608051,2.99594972653989,0,0,1.08591604630534,0.528694435845756,0,0.718778967361393,1.80610707586465,2.34709638643289,0,1.27530868450032,1.54471964375719,1.44703435339669,0,0.967057752172826,1.29730232943296,0,0
"GOBP_NEURON_MATURATION",4.07962684308179,0,0,0,4.72226476907702,0,1.31879713643002,1.07670489362575,3.05712958105274,0,0,0,2.67473148185799,0,0,0,3.89963530172352,0,0.909845979446959,0,3.25766161527005,2.38503277869719,1.96292765631485,0,5.31384658765232,2.71892544486738,1.75925073054305,0,1.68466524511409,0,0,0,3.07508191301223,0,2.11412041187967,1.47768180892336,1.8923292024025,0,0,0,0.967057752172826,0,0.661080139329617,0
"GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT",4.07962684308179,0,0,0,4.54284673072179,0,0,1.85149114493945,3.00190119759703,0,0,1.2620291547354,1.17524132223516,0,0,0,1.61809774851774,0,0,0,1.36458148381464,0,1.36458148381464,0.71384177835541,2.97462244831816,0,0,0,0,0,0,0,0,1.52108007855965,1.61009559356554,1.61525413450942,0,0,0,0,0.849240905985904,0,0,0
"GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS",4.07962684308179,3.53544516743335,2.38503277869719,0,7.18067307589021,4.46510095792312,1.38921950130066,2.7821956538998,4.17640783392948,3.50516894400819,0,0,3.51094164235501,2.25528274986722,0,0,4.96478968168921,0,0,0,4.52485161937538,2.07162571157637,2.28238077474637,0,5.05226897249176,3.30729536364479,3.64915428050207,0.796716733931777,3.0590960162779,1.87560663753892,0,0,2.64581642750801,2.32149225311863,1.32443422870218,0,2.16450473794573,1.54471964375719,0,0,4.42961372059642,1.46093677154442,0,0
"GOBP_PEPTIDE_TRANSPORT",4.07962684308179,0,2.87883324957921,1.07670489362575,5.74143298847805,1.13871610398587,3.45361198699288,3.98978586294352,3.75726327101454,1.59551047110043,0,1.74539728947325,2.81821477014205,0,0,0.818787769979332,4.61321171006572,1.73678238701503,1.49448103573325,2.58598451898645,4.70137468988899,3.71831210214621,3.35077326297947,1.22639087640346,4.52485161937538,3.11421985477264,4.01242059772744,1.74624490995661,0.797636473397208,0,0,0,1.95489393379913,1.52108007855965,3.00542273640661,1.3320972000826,0.880425686984323,0,0.571549888288891,0,4.01798610358489,1.90008953551264,1.07407008000843,0
"GOBP_PEPTIDYL_LYSINE_ACETYLATION",4.07962684308179,0,0.452213306864877,0,5.07890702134393,0,2.06661261645004,2.07162571157637,3.65131370777789,0,0.299833226303854,0,2.81821477014205,0,0.576644957876924,0,4.25846093614995,0,2.07162571157637,0,3.06964451296171,1.96292765631485,3.06964451296171,0,4.70137468988899,0,2.60715083467041,0,0,0,0,0,0,1.52108007855965,1.32443422870218,1.74672022275394,0,0,0,1.07850273202096,2.40394620549181,0,0,0
"GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT",4.07962684308179,0,0,0,4.81168368241484,0,0,0,1.74531457158638,0,0,0,1.56841922542876,0,0,0,4.70137468988899,0,0,0.452213306864877,2.6846157972517,0,0,0,2.07162571157637,1.06505032876199,0,0,0.563991382077484,0,0,0,0,0,0.525634345545382,0,0.880425686984323,0,0,0,2.7956292007603,0,0,0.86440363369654
"GOBP_POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION",4.07962684308179,0,0,0,5.30054313343258,0,1.31879713643002,0,2.60731360458685,0,0,0,2.95973155044287,0,0,0,4.34749010393707,0,1.49448103573325,1.96292765631485,3.35077326297947,4.34749010393707,3.71831210214621,2.58598451898645,6.35017598429754,2.61768093814436,3.27925446882464,0,1.80396358476718,0,0,0,1.42715583291534,1.52108007855965,1.32443422870218,0.803412079560838,0,1.18914306279701,0,0,4.77856957617524,0,0,1.22097942296917
"GOBP_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",4.07962684308179,0,0,0,3.1592714463115,0,0,0,1.74531457158638,0.770411752667898,0,0,0.940799010319407,0.568765741982183,0,0,4.07962684308179,0,0,0,2.48617390311913,0.71384177835541,0,0,3.53544516743335,0,1.87356248025743,0,0.117360193618651,0,0,0,0.718778967361393,0,1.32443422870218,0,0,0,0.571549888288891,0,2.0600217985903,0,0,0
"GOBP_POSITIVE_REGULATION_OF_MUSCLE_CONTRACTION",4.07962684308179,0,0,0,5.9170304238991,0,0,0,3.16688406607344,0,0,0,2.07268444472767,0,0,0,0,0,0,0,0.909845979446959,0,0,0,1.85149114493945,0,0,0,0,0,0,0,0.718778967361393,0,0,0,0,0,0,0,0,0,0,0
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY",4.07962684308179,0.909845979446959,1.36458148381464,0,4.81168368241484,0,2.44830083073206,1.22639087640346,1.87811150189004,0.770411752667898,1.50321046172989,0,1.91175712856238,0,0,0,4.16917891979175,0.909845979446959,2.97462244831816,0,2.7821956538998,2.58598451898645,3.25766161527005,0,4.78935185020032,2.41141649831511,3.64915428050207,0.402096513904923,0,0,0,0,1.7017428880222,2.07053906652247,2.57210251444698,2.57084551376237,1.27530868450032,0,0,0,2.0600217985903,0,0,0
