"","0.0_SE_5","0.0_SE_10","0.0_SE_20","0.0_SE_40","0.1_SE_5","0.1_SE_10","0.1_SE_20","0.1_SE_40","0.2_SE_5","0.2_SE_10","0.2_SE_20","0.2_SE_40","0.3_SE_5","0.3_SE_10","0.3_SE_20","0.3_SE_40","1_SE_5","1_SE_10","1_SE_20","1_SE_40","2_SE_5","2_SE_10","2_SE_20","2_SE_40","3.0_SE_5","3.0_SE_10","3.0_SE_20","3.0_SE_40","3.1_SE_5","3.1_SE_10","3.1_SE_20","3.1_SE_40","3.2_SE_5","3.2_SE_10","3.2_SE_20","3.2_SE_40","3.3_SE_5","3.3_SE_10","3.3_SE_20","3.3_SE_40","4_SE_5","4_SE_10","4_SE_20","4_SE_40"
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM",3.35046098761096,0,0,0,3.43959917996314,0,0,0,1.15606745148284,0,0,0,0,0,0,0,2.79649630944733,0,0,0,3.2594381813023,0,0,0,4.85294969837071,0.431050600682276,2.13360525316609,0,0.244137851672129,0,0,0,1.36273362513112,0,2.25449212591781,0,0.787579957455613,1.58162938081114,1.3335236803575,0,1.41196994208795,0,0,0
"REACTOME_CIRCADIAN_CLOCK",3.35046098761096,1.6872175900178,3.97748477261038,0.904282314769456,4.52115747742368,0,6.1424257079401,0,1.23497480331104,1.09852805997296,3.95466215196383,1.61286959752182,0.769449232468285,0.47635452228555,2.7919532193573,0,2.31450103760994,1.05962243956267,3.79987822421536,0,2.41298396820845,2.21469246595627,4.4174539990508,0,3.35046098761096,2.12747301164334,4.35258678717262,0,0.965047101936899,1.06066535639555,1.82308999950814,0,0,1.43351473352655,2.4742859731861,1.27229299461827,0,0.603428339229289,2.19971181773472,0,2.26985281696781,0.416278714745611,1.84284987061147,0
"REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY",3.35046098761096,1.2004371438001,4.06590959836088,0,4.87499020404312,1.38199276241806,5.42371524529784,0,1.15606745148284,0,4.42818164203602,0,1.91207847395628,0,2.92101410970699,0,2.41298396820845,0,3.4410624943173,0,2.60658594841025,1.57331251055501,3.79987822421536,1.2004371438001,3.4410624943173,1.44980978965555,3.18870137812544,0,0,0,1.82308999950814,0,0,1.43351473352655,2.68866899686883,0.956503792616231,0,1.73187424708276,1.64533827823014,0,0,1.12080612266616,2.62358780934418,0
"REACTOME_DISEASES_OF_METABOLISM",3.35046098761096,1.2004371438001,4.15410457363469,0,4.87499020404312,0.7551250344981,5.9632324129854,0,1.97425120804386,0,5.1757110534319,1.05586541952858,1.58723923472057,1.75020147942845,2.25906386220597,0,3.97748477261038,1.05962243956267,3.88881366570111,0.49688369302109,3.88881366570111,3.53127636825249,5.02616814415384,1.57331251055501,4.59211408909482,2.63431453605374,4.78976055129148,0,1.74621177250989,1.06066535639555,2.03417918766998,0,1.06295476565104,1.7108226779214,3.3099966044674,0,0.787579957455613,2.28645944453283,2.19971181773472,0.985765338575948,2.96460228584473,0.100663841563412,2.62358780934418,0
"REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER",3.35046098761096,1.2004371438001,4.06590959836088,1.2004371438001,3.89487780644917,0,6.41070850704737,0,2.03482983156597,1.250798746403,4.61605530822048,0.406413111535939,1.75304549187798,0,3.30142806174591,0,3.35046098761096,1.33136135510115,5.02616814415384,1.45508220098549,2.41298396820845,2.51030097505442,5.28512657047768,0.725104897785938,2.98343937575107,2.02150496269236,5.65451281411706,0,0,1.81527012369245,2.03417918766998,0,0,1.96856607696757,2.89887208247727,0,0,0,1.93057331273381,0,1.56906419703955,0.717213160521324,3.34479960235882,0
"REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION",3.35046098761096,0,0.49688369302109,0,4.69837571727107,0,0,0,2.44301974879588,0,1.44504384251827,0,1.75304549187798,0,0,0,3.16795629165793,0,0,0,2.79649630944733,1.05962243956267,1.57331251055501,0,3.16795629165793,0,1.70825628814739,0,1.38831426915859,0,0,0,0,0,0,0,0,0,0.437195077642202,0,0.961062559407556,0,0,0
"REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE",3.35046098761096,0,0,0,5.62024637857733,0,0,0,1.97425120804386,0,0,0,2.64740658700544,0,0,0,3.7106585623459,0,0.49688369302109,0,3.7106585623459,0,0,0,5.28512657047768,0.685797949905534,1.70825628814739,0,1.6313399419483,0,0,0,0,0,0,0,1.17829496315692,0,0,0,3.02570236683282,0,0,0
"REACTOME_HEDGEHOG_ON_STATE",3.35046098761096,0.725104897785938,3.53127636825249,0.725104897785938,3.80445626958373,0,5.24311271895211,0,0.986176510087431,0,5.08279237691116,0,1.22406389037383,0,2.7919532193573,0,2.11336570754445,0,3.88881366570111,0,2.79649630944733,1.6872175900178,3.88881366570111,0.725104897785938,2.79649630944733,0.87674968088892,3.46219721143816,0,0,0,1.82308999950814,0,0,1.43351473352655,2.68866899686883,0.525067726328163,0,1.07198221237735,1.3335236803575,0,2.13716316145608,0,2.83361145240993,0
"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION",3.35046098761096,1.9051621163945,4.06590959836088,0,4.43229811470751,0,5.15264440929031,0,0.79144719118003,0,4.52221369915236,1.20944289244931,1.58723923472057,0,2.7919532193573,0,2.31450103760994,0.49688369302109,3.4410624943173,0,2.41298396820845,1.79762898109073,2.89030141792826,1.9051621163945,3.97748477261038,0,3.37145955058124,0,0,0.716270513710395,1.60088783794731,0,0,0,2.02747761157746,0.525067726328163,0,1.07198221237735,1.93057331273381,0,0,0,2.51697907572516,0
"REACTOME_ORC1_REMOVAL_FROM_CHROMATIN",3.35046098761096,1.45508220098549,3.97748477261038,0.725104897785938,4.69837571727107,1.1001405060687,5.51386099527596,0,1.15606745148284,0,4.7097184137282,1.20944289244931,1.22406389037383,0,2.52937457139046,0,2.70195217617499,0,3.88881366570111,0,2.89030141792826,1.45508220098549,3.62113271806309,1.45508220098549,3.16795629165793,1.68912206320484,3.05035263920339,0,0,0,2.23734952670567,0,0,1.43351473352655,2.4742859731861,1.27229299461827,0,1.07198221237735,0.969483834162376,0,0.852528433465476,0.935591535753979,2.83361145240993,0
"REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE",3.35046098761096,1.57331251055501,4.24208468740725,1.57331251055501,4.43229811470751,0,6.00805789875443,1.45508220098549,2.15404940160834,1.09852805997296,5.36118220931308,0.884685793565096,2.06592471995187,0.756212994256434,2.39535215267862,0,2.31450103760994,1.2004371438001,4.24208468740725,0,3.2594381813023,2.60658594841025,4.85294969837071,0,2.31450103760994,2.12747301164334,3.50742078570078,0,0,1.81527012369245,2.62735018811158,0,0,1.7108226779214,2.89887208247727,1.54522250189642,1.17829496315692,0,1.3335236803575,0,1.56906419703955,0,2.83361145240993,0
"REACTOME_PCP_CE_PATHWAY",3.35046098761096,0,3.35046098761096,2.70195217617499,5.31429841287336,0,5.51386099527596,0,2.55573141892252,0,4.14480612803492,1.85472011107289,2.21568283770832,0.47635452228555,1.97775728880745,0,2.21469246595627,1.33136135510115,3.97748477261038,0.904282314769456,3.2594381813023,2.31450103760994,3.88881366570111,2.21469246595627,3.79987822421536,0,3.99953331445324,0,0,0.716270513710395,2.81649390237529,0,0.684101951636057,0.733640165101713,3.3099966044674,1.79506978943687,0,0,1.93057331273381,0,1.06121690999482,0.416278714745611,2.40911191381151,0
